Satellite,Date,Location,NDVI,SMI
MODIS,01/06/21,Kadapa,8.573401213,0.670560122
MODIS,01/11/23,Raichur,68.65527797,137.07564
Landsat,01/06/23,Kadapa,46.95953012,84.93943644
Sentinel-2,01/09/20,Vijayapura,160.1831942,254.0902994
AMSR-E,01/08/23,Kurnool,75.94513607,154.5530024
MODIS,01/12/20,Ramanathapuram,56.26456022,108.4630408
SMAP,01/09/21,Mahbubnagar,64.3439579,128.3635478
Sentinel-2,01/01/20,Raichur,127.6746917,254.9875464
Landsat,01/08/23,Chitradurga,116.7226377,250.9181061
AMSR-E,01/12/19,Vijayapura,83.00956774,172.5696757
Sentinel-2,01/08/22,Ramanathapuram,110.7460749,238.1576324
AMSR-E,01/09/24,Palakkad,129.7749257,254.996676
Sentinel-2,01/12/19,Mahbubnagar,19.08486962,15.5670929
MODIS,01/05/22,Dharmapuri,89.09511471,185.1059325
AMSR-E,01/01/21,Palakkad,76.70981789,159.4814181
Sentinel-2,01/07/23,Mahbubnagar,37.79553437,62.16178322
SMAP,01/12/24,Dharmapuri,88.59952402,189.0781424
SMAP,01/09/24,Anantapur,55.27214456,105.7869158
AMSR-E,01/04/24,Kadapa,87.31318092,182.0847921
AMSR-E,01/08/24,Koppal,60.3021462,117.8166351
AMSR-E,01/09/19,Idukki,147.3516648,254.9027588
Landsat,01/12/20,Mahbubnagar,80.9309485,168.5129657
AMSR-E,01/12/22,Kurnool,32.21917343,48.26376438
Landsat,01/04/21,Sivaganga,46.09083056,82.91960335
Sentinel-2,01/05/20,Palakkad,39.51576924,66.36049962
SMAP,01/08/24,Mahbubnagar,156.5477741,246.6593075
Landsat,01/05/19,Dharmapuri,40.7845633,69.56656504
SMAP,01/03/21,Kurnool,100.125788,209.4953897
AMSR-E,01/06/20,Anantapur,77.34751654,160.5246015
Sentinel-2,01/09/20,Sivaganga,58.66476965,114.4340744
MODIS,01/02/19,Ramanathapuram,7.318805933,0.327871323
MODIS,01/04/19,Mahbubnagar,99.98212361,204.5022717
MODIS,01/09/19,Palakkad,71.4129591,146.1866798
SMAP,01/07/21,Sivaganga,46.11546731,82.80470181
Sentinel-2,01/06/21,Koppal,19.6360352,36.98179102
Sentinel-2,01/08/21,Palakkad,118.9644141,253.147197
Landsat,01/04/19,Ramanathapuram,15.54078698,8.060195446
AMSR-E,01/12/23,Palakkad,83.61048985,172.8972383
MODIS,01/11/23,Mahbubnagar,73.76936555,152.0368218
Landsat,01/08/19,Sivaganga,108.5715008,216.5942981
Landsat,01/05/20,Kurnool,80.06415176,165.5512679
SMAP,01/08/22,Ramanathapuram,110.7460749,238.1576324
SMAP,01/07/23,Dharmapuri,44.59908032,79.34950519
AMSR-E,01/06/22,Palakkad,31.55091906,46.60081363
SMAP,01/03/24,Idukki,8.587894201,0.172441244
SMAP,01/11/23,Dharmapuri,19.73205733,17.96543169
SMAP,01/11/20,Anantapur,24.18225265,28.21651435
SMAP,01/02/19,Koppal,25.83867073,49.3922627
AMSR-E,01/06/23,Chitradurga,33.72411609,52.02759743
Sentinel-2,01/03/22,Kurnool,69.40700817,140.7276287
AMSR-E,01/10/21,Ramanathapuram,12.16063142,3.667100906
AMSR-E,01/02/19,Anantapur,110.7928557,212.8824632
MODIS,01/01/20,Chitradurga,131.4288414,254.9955232
Sentinel-2,01/01/21,Sivaganga,121.4749663,254.7939041
SMAP,01/05/20,Koppal,30.14182782,61.97367406
AMSR-E,01/10/21,Sivaganga,142.1151896,254.2856977
AMSR-E,01/01/20,Vijayapura,100.0521295,217.7477527
MODIS,01/10/19,Palakkad,77.24295449,160.8509831
SMAP,01/09/20,Kadapa,16.39425278,9.614170313
SMAP,01/03/21,Mahbubnagar,88.45835209,182.1934361
Sentinel-2,01/05/22,Dharmapuri,89.09511471,185.1059325
Landsat,01/12/20,Anantapur,10.16026354,1.255560875
Sentinel-2,01/11/21,Palakkad,93.17739749,199.1039784
MODIS,01/09/20,Vijayapura,160.1831942,254.0902994
Sentinel-2,01/04/19,Kurnool,67.48045158,136.4584446
Landsat,01/02/23,Chitradurga,70.34905958,141.7549629
MODIS,01/12/24,Anantapur,131.4264822,254.9765921
Sentinel-2,01/09/23,Idukki,12.5571022,4.080272436
AMSR-E,01/10/20,Raichur,150.9480124,254.0604806
MODIS,01/09/20,Kurnool,130.1997569,254.9955354
SMAP,01/01/23,Raichur,99.98613787,201.749526
AMSR-E,01/01/22,Koppal,44.20556474,78.04183316
AMSR-E,01/07/24,Ramanathapuram,10.60204244,21.42179298
Landsat,01/05/21,Idukki,115.1026988,252.8873467
SMAP,01/12/24,Kadapa,106.3391292,227.7985752
SMAP,01/04/24,Dharmapuri,59.95211649,116.9592631
MODIS,01/05/23,Idukki,33.97363758,52.51445413
AMSR-E,01/10/24,Palakkad,43.4871614,76.40938783
MODIS,01/10/19,Sivaganga,38.71294665,64.42221045
MODIS,01/10/24,Raichur,84.75139308,178.7891111
AMSR-E,01/04/19,Vijayapura,19.59583402,25.64179325
AMSR-E,01/09/24,Kurnool,61.30846977,120.1131566
Sentinel-2,01/02/23,Palakkad,106.8629594,234.3304951
MODIS,01/02/21,Anantapur,17.16183424,11.25211048
SMAP,01/02/24,Mahbubnagar,93.51174283,189.4079347
Landsat,01/08/21,Ramanathapuram,11.99533176,3.896655321
Sentinel-2,01/11/24,Sivaganga,53.03258705,100.3330355
Landsat,01/07/22,Raichur,17.38303947,12.50520396
Sentinel-2,01/03/22,Anantapur,96.2542603,196.3713233
MODIS,01/02/20,Palakkad,56.34726977,108.6250138
Landsat,01/01/22,Kadapa,68.2180562,137.5768268
MODIS,01/01/20,Kadapa,69.0742979,140.3273973
MODIS,01/01/22,Ramanathapuram,125.0668836,245.5724778
AMSR-E,01/12/22,Anantapur,130.8585584,254.9411805
SMAP,01/11/19,Raichur,85.28608775,175.8353882
Landsat,01/02/23,Mahbubnagar,9.050707579,0.831854343
Landsat,01/10/23,Sivaganga,51.20203137,95.07525396
AMSR-E,01/09/21,Idukki,128.2126942,254.9949803
SMAP,01/03/21,Chitradurga,130.7439158,254.9788702
MODIS,01/07/24,Palakkad,141.0409095,247.6695588
Landsat,01/10/23,Raichur,147.1079204,254.1215048
Sentinel-2,01/09/19,Kurnool,26.64051056,34.30571866
Sentinel-2,01/11/21,Vijayapura,16.74229002,11.07646632
AMSR-E,01/07/21,Raichur,2.330587626,4.456305742
Landsat,01/07/22,Ramanathapuram,8.472504616,1.037749767
MODIS,01/01/20,Mahbubnagar,72.63944387,149.0802464
AMSR-E,01/06/23,Mahbubnagar,45.17607975,80.77694964
SMAP,01/10/23,Koppal,63.65684509,126.7289844
MODIS,01/06/19,Kadapa,51.60659218,96.72900128
SMAP,01/05/20,Vijayapura,73.19701767,150.4592824
AMSR-E,01/04/24,Kurnool,65.51351118,130.6210554
Sentinel-2,01/07/24,Idukki,52.46714973,98.97059894
Sentinel-2,01/06/19,Koppal,103.9387717,203.2519135
MODIS,01/11/22,Palakkad,91.95081806,182.7306147
Landsat,01/02/23,Vijayapura,108.759397,211.8018231
Landsat,01/10/22,Idukki,11.03828406,1.019890547
SMAP,01/02/24,Chitradurga,16.76771188,11.44156313
MODIS,01/10/20,Idukki,50.06579542,92.78132892
MODIS,01/08/24,Dharmapuri,140.7002983,253.1052129
MODIS,01/07/21,Vijayapura,23.3507688,26.00652027
Sentinel-2,01/01/20,Koppal,14.23834205,4.500098944
MODIS,01/04/20,Kurnool,69.87960792,142.2113883
AMSR-E,01/07/19,Palakkad,124.929858,251.1538286
AMSR-E,01/04/20,Ramanathapuram,3.058671951,3.165959358
MODIS,01/04/22,Vijayapura,105.7508979,214.7690437
Sentinel-2,01/01/24,Palakkad,82.00939202,172.78509
Landsat,01/11/22,Koppal,16.43190789,11.43354964
Sentinel-2,01/04/24,Chitradurga,45.57456422,81.69652915
MODIS,01/11/20,Koppal,58.12496042,112.916096
Sentinel-2,01/06/24,Koppal,72.55815935,147.4801369
Sentinel-2,01/07/19,Idukki,129.7697141,242.3141437
SMAP,01/02/21,Sivaganga,81.24981904,168.7077525
Landsat,01/01/20,Vijayapura,100.0521295,217.7477527
AMSR-E,01/02/22,Kurnool,71.97725868,146.3459802
Sentinel-2,01/08/20,Dharmapuri,12.98310518,3.720236301
Sentinel-2,01/04/20,Palakkad,31.718817,47.05117369
SMAP,01/10/19,Anantapur,21.76872087,26.054672
Landsat,01/10/22,Chitradurga,53.56022286,99.70134163
Landsat,01/01/21,Sivaganga,121.4749663,254.7939041
Sentinel-2,01/09/21,Palakkad,66.73688936,134.5757141
MODIS,01/08/19,Palakkad,156.804271,249.1655207
SMAP,01/11/20,Mahbubnagar,53.59643602,101.7609751
AMSR-E,01/03/20,Anantapur,101.1386223,207.0889459
AMSR-E,01/05/19,Kurnool,84.55313802,177.1364985
Sentinel-2,01/12/20,Anantapur,10.16026354,1.255560875
SMAP,01/12/24,Sivaganga,132.8586257,249.0577192
AMSR-E,01/08/24,Palakkad,97.32470369,204.3522947
Sentinel-2,01/12/22,Vijayapura,57.72567248,111.9747851
AMSR-E,01/08/21,Koppal,124.603596,254.7323065
MODIS,01/12/24,Chitradurga,70.70537639,142.593864
Sentinel-2,01/05/21,Chitradurga,35.688797,57.06190944
Sentinel-2,01/11/20,Raichur,6.469398737,12.8759892
AMSR-E,01/04/21,Kadapa,78.7471149,163.2853839
SMAP,01/09/20,Kurnool,130.1997569,254.9955354
Landsat,01/04/19,Vijayapura,19.59583402,25.64179325
MODIS,01/01/23,Raichur,99.98613787,201.749526
MODIS,01/09/22,Mahbubnagar,116.9130197,233.183955
Landsat,01/11/24,Sivaganga,53.03258705,100.3330355
SMAP,01/06/23,Vijayapura,18.94985843,25.93624783
Sentinel-2,01/11/20,Kadapa,46.54970074,83.95782876
Sentinel-2,01/08/24,Kurnool,39.0690186,63.85183406
SMAP,01/10/24,Raichur,84.75139308,178.7891111
SMAP,01/11/23,Idukki,31.05919123,44.96914768
MODIS,01/06/24,Kadapa,31.22308016,45.79908919
MODIS,01/11/20,Sivaganga,43.33391786,76.12649035
SMAP,01/12/19,Kadapa,8.985807896,0.368981361
Landsat,01/04/21,Koppal,42.41246223,88.84988928
MODIS,01/04/23,Koppal,30.72147202,63.6768837
SMAP,01/11/20,Chitradurga,143.3464715,253.8280206
MODIS,01/08/23,Kadapa,104.4459333,193.6079159
Landsat,01/08/21,Kadapa,26.08345509,32.93839288
SMAP,01/08/22,Vijayapura,81.85703897,167.3768532
Landsat,01/03/22,Anantapur,96.2542603,196.3713233
MODIS,01/11/19,Raichur,85.28608775,175.8353882
AMSR-E,01/01/23,Sivaganga,126.9200249,254.9583974
Landsat,01/10/22,Mahbubnagar,134.1565995,240.2383354
Sentinel-2,01/10/23,Sivaganga,51.20203137,95.07525396
AMSR-E,01/08/19,Kurnool,105.57336,217.5127711
Sentinel-2,01/06/21,Raichur,68.52260733,138.8342862
Landsat,01/01/24,Raichur,0.356321573,0.527073145
MODIS,01/10/21,Dharmapuri,54.93811584,104.2588828
Sentinel-2,01/04/24,Mahbubnagar,96.24637651,197.9819379
AMSR-E,01/11/22,Kadapa,55.20169902,105.6725876
Sentinel-2,01/05/24,Kurnool,22.67809081,25.36414194
Landsat,01/02/21,Kurnool,76.5060544,157.7803073
SMAP,01/02/24,Koppal,26.73463488,53.58543277
SMAP,01/12/20,Dharmapuri,19.57590699,16.82787228
SMAP,01/03/19,Idukki,46.69458246,88.98183179
MODIS,01/09/22,Palakkad,66.00326991,132.6894889
Sentinel-2,01/08/23,Koppal,36.56521511,59.15099311
Sentinel-2,01/04/23,Kadapa,23.4740057,27.0623796
MODIS,01/09/22,Chitradurga,145.4220974,254.9981332
Sentinel-2,01/05/21,Mahbubnagar,17.62164283,13.20399642
MODIS,01/12/24,Mahbubnagar,14.39250731,5.99178791
Sentinel-2,01/06/21,Dharmapuri,12.57214403,2.861569166
SMAP,01/04/20,Kurnool,69.87960792,142.2113883
SMAP,01/04/20,Idukki,67.6132946,134.9564652
MODIS,01/04/23,Palakkad,43.44311047,76.43778944
AMSR-E,01/02/23,Vijayapura,108.759397,211.8018231
Sentinel-2,01/09/24,Vijayapura,25.62685418,31.7440784
Sentinel-2,01/10/21,Dharmapuri,54.93811584,104.2588828
Sentinel-2,01/03/19,Ramanathapuram,32.63778162,49.31942725
AMSR-E,01/05/24,Chitradurga,18.07836318,14.05407739
MODIS,01/10/22,Palakkad,24.29115915,28.45134306
AMSR-E,01/12/20,Idukki,66.38529301,133.0883179
SMAP,01/07/22,Kadapa,92.59270048,194.9354601
SMAP,01/04/20,Dharmapuri,12.29575276,3.575139046
Landsat,01/01/24,Chitradurga,64.56348848,128.0210693
Sentinel-2,01/04/23,Kurnool,18.30924869,14.29319286
AMSR-E,01/06/19,Palakkad,24.28924274,28.5490644
MODIS,01/05/22,Sivaganga,30.95940304,45.22018051
Sentinel-2,01/07/21,Idukki,14.55517101,6.518397808
MODIS,01/03/22,Chitradurga,16.28408504,12.17201447
MODIS,01/06/21,Dharmapuri,12.57214403,2.861569166
MODIS,01/09/24,Vijayapura,25.62685418,31.7440784
AMSR-E,01/03/20,Kadapa,34.98271012,54.92661715
AMSR-E,01/04/21,Chitradurga,64.34557056,127.8454995
MODIS,01/06/24,Palakkad,86.2497015,181.606236
SMAP,01/01/19,Raichur,22.10652733,42.71209979
Landsat,01/03/23,Dharmapuri,70.03488159,142.3349848
MODIS,01/09/22,Ramanathapuram,131.1009791,254.9896033
SMAP,01/08/23,Anantapur,25.08013511,30.24146032
MODIS,01/03/20,Palakkad,87.35222673,183.8913894
AMSR-E,01/01/24,Vijayapura,138.7950454,234.4313996
AMSR-E,01/04/19,Kadapa,98.55168176,205.3810289
SMAP,01/01/19,Dharmapuri,68.61844492,138.0804212
AMSR-E,01/09/24,Idukki,83.71404719,176.9590662
AMSR-E,01/08/19,Koppal,77.94825363,159.4500282
SMAP,01/03/19,Ramanathapuram,32.63778162,49.31942725
SMAP,01/06/22,Raichur,44.38299251,78.88595128
SMAP,01/01/23,Mahbubnagar,131.3875334,254.9904475
AMSR-E,01/09/22,Sivaganga,93.3364799,199.048558
Sentinel-2,01/06/22,Anantapur,24.43438268,28.74650526
MODIS,01/03/22,Koppal,27.89763927,55.98666954
Landsat,01/03/20,Koppal,27.25242615,35.78931785
AMSR-E,01/05/24,Sivaganga,92.24125338,193.9883747
AMSR-E,01/11/24,Palakkad,71.88388515,147.278383
Landsat,01/10/19,Raichur,20.79073596,19.37082982
Sentinel-2,01/09/23,Kurnool,28.45415497,38.83404875
SMAP,01/10/23,Vijayapura,114.9323471,242.7101645
SMAP,01/11/23,Raichur,68.65527797,137.07564
Landsat,01/01/24,Mahbubnagar,53.58620524,101.5584953
AMSR-E,01/07/23,Idukki,23.2177155,25.76513147
MODIS,01/06/21,Ramanathapuram,28.26377463,56.406147
MODIS,01/07/21,Anantapur,96.79352927,207.0784941
Landsat,01/12/19,Vijayapura,83.00956774,172.5696757
Landsat,01/08/19,Kadapa,158.3994386,244.0612118
MODIS,01/08/20,Dharmapuri,12.98310518,3.720236301
SMAP,01/12/21,Kadapa,129.9777355,254.9667385
Landsat,01/04/19,Koppal,44.12026072,77.98817801
Landsat,01/05/24,Idukki,70.28284454,142.9779339
AMSR-E,01/05/24,Mahbubnagar,78.9576695,164.3072691
Sentinel-2,01/04/22,Vijayapura,105.7508979,214.7690437
Sentinel-2,01/12/22,Idukki,65.71648622,131.9047518
Sentinel-2,01/03/23,Palakkad,77.00816417,159.6975627
SMAP,01/05/24,Vijayapura,10.13434434,1.22630167
MODIS,01/09/24,Sivaganga,33.02340817,50.35882354
SMAP,01/01/23,Chitradurga,133.6537509,254.9631944
Sentinel-2,01/04/21,Sivaganga,46.09083056,82.91960335
Landsat,01/09/20,Sivaganga,58.66476965,114.4340744
AMSR-E,01/07/22,Palakkad,133.4930394,249.2381768
MODIS,01/03/21,Kurnool,100.125788,209.4953897
MODIS,01/11/24,Ramanathapuram,6.110051394,1.393075943
Sentinel-2,01/08/19,Sivaganga,108.5715008,216.5942981
AMSR-E,01/07/19,Anantapur,62.13386202,122.7370574
Sentinel-2,01/03/22,Kadapa,11.33713865,1.636404753
MODIS,01/12/22,Vijayapura,57.72567248,111.9747851
Sentinel-2,01/10/21,Palakkad,134.2283413,252.9625063
AMSR-E,01/04/21,Mahbubnagar,59.04460478,115.1955311
SMAP,01/03/21,Idukki,75.2936914,154.8161793
MODIS,01/03/22,Mahbubnagar,56.84140491,109.8327448
AMSR-E,01/05/19,Dharmapuri,40.7845633,69.56656504
MODIS,01/11/19,Palakkad,31.84282875,47.41136718
AMSR-E,01/01/24,Kadapa,127.9828072,254.9890039
Landsat,01/01/19,Kurnool,107.4274156,214.8330464
AMSR-E,01/11/20,Ramanathapuram,52.30966401,98.34092045
AMSR-E,01/08/24,Dharmapuri,140.7002983,253.1052129
Sentinel-2,01/03/23,Dharmapuri,70.03488159,142.3349848
AMSR-E,01/11/20,Kurnool,39.29972267,65.99336267
MODIS,01/08/20,Raichur,11.50580335,2.638569593
AMSR-E,01/07/21,Vijayapura,23.3507688,26.00652027
SMAP,01/12/22,Koppal,127.9149039,254.9856596
MODIS,01/05/24,Palakkad,18.18197966,13.63108063
Landsat,01/06/22,Kurnool,30.95110917,45.02150464
SMAP,01/08/19,Vijayapura,73.23319578,149.0039864
MODIS,01/03/21,Kadapa,12.77073693,3.445725679
Landsat,01/03/23,Kadapa,58.05636168,112.8376448
MODIS,01/11/24,Kurnool,37.81949592,62.04519153
AMSR-E,01/08/24,Raichur,146.245266,236.7866511
SMAP,01/07/23,Anantapur,60.97525096,117.5015559
Landsat,01/10/21,Dharmapuri,54.93811584,104.2588828
Sentinel-2,01/02/22,Raichur,79.49587369,164.7093017
AMSR-E,01/01/19,Ramanathapuram,9.480122805,0.955366611
Sentinel-2,01/03/21,Koppal,58.65495348,114.0863299
MODIS,01/12/21,Raichur,3.08265543,6.171881676
AMSR-E,01/05/19,Palakkad,50.31939626,93.2336657
AMSR-E,01/10/24,Idukki,22.65475917,24.37736392
AMSR-E,01/11/20,Chitradurga,143.3464715,253.8280206
AMSR-E,01/11/19,Koppal,74.43248653,153.6143675
Landsat,01/04/23,Anantapur,25.50519657,31.71338463
MODIS,01/12/21,Idukki,144.1124003,248.7706814
MODIS,01/03/19,Chitradurga,84.28963947,174.1998124
Landsat,01/12/23,Idukki,62.36965108,123.1473823
Sentinel-2,01/05/19,Raichur,73.07193518,146.4634848
AMSR-E,01/06/22,Sivaganga,33.2856319,50.97295475
Landsat,01/09/20,Ramanathapuram,95.43148994,192.7371151
Sentinel-2,01/09/22,Anantapur,39.81896687,66.95838141
MODIS,01/08/21,Anantapur,59.36171269,114.8179069
SMAP,01/03/21,Vijayapura,82.49994898,171.8899388
MODIS,01/12/19,Palakkad,129.6886315,254.9965997
Landsat,01/11/19,Kadapa,130.0796757,254.9970186
SMAP,01/07/21,Koppal,46.62516665,83.17868471
AMSR-E,01/09/23,Palakkad,47.324476,85.92111063
AMSR-E,01/05/24,Raichur,32.98184657,50.27722955
Sentinel-2,01/05/24,Anantapur,19.32238245,17.13531518
MODIS,01/04/19,Vijayapura,19.59583402,25.64179325
Landsat,01/06/23,Ramanathapuram,68.68878055,139.0624335
MODIS,01/04/19,Anantapur,99.42370081,198.8769789
AMSR-E,01/04/22,Palakkad,53.89721465,102.428622
MODIS,01/05/20,Raichur,62.387887,123.1661232
Landsat,01/06/20,Sivaganga,31.0732069,45.33967447
Landsat,01/01/24,Koppal,29.97552943,61.38961744
AMSR-E,01/04/21,Anantapur,70.09408307,142.1900213
Landsat,01/11/23,Kurnool,49.51152968,91.48293352
Sentinel-2,01/08/19,Raichur,82.24547338,172.7183173
SMAP,01/10/19,Kurnool,52.60166311,99.15659094
MODIS,01/06/24,Sivaganga,127.6862204,231.3499489
MODIS,01/03/19,Mahbubnagar,67.3411746,135.4602244
SMAP,01/05/20,Sivaganga,44.66861033,79.34226871
Sentinel-2,01/12/19,Vijayapura,83.00956774,172.5696757
MODIS,01/01/20,Vijayapura,100.0521295,217.7477527
AMSR-E,01/11/20,Mahbubnagar,53.59643602,101.7609751
MODIS,01/07/22,Idukki,172.1867871,254.9677122
Landsat,01/07/20,Idukki,145.4725096,234.8617098
AMSR-E,01/12/24,Palakkad,129.7656443,254.9969406
Landsat,01/04/22,Vijayapura,105.7508979,214.7690437
AMSR-E,01/09/20,Vijayapura,160.1831942,254.0902994
Sentinel-2,01/07/19,Sivaganga,79.5762527,166.3044808
AMSR-E,01/08/19,Anantapur,53.53533864,101.4649827
AMSR-E,01/06/21,Kurnool,109.8958409,240.5886338
AMSR-E,01/03/23,Koppal,34.99074697,72.35038137
Landsat,01/10/19,Chitradurga,67.57702899,135.6779675
Landsat,01/12/22,Vijayapura,57.72567248,111.9747851
Landsat,01/09/20,Raichur,17.39653659,12.98533034
AMSR-E,01/01/23,Chitradurga,133.6537509,254.9631944
AMSR-E,01/03/21,Palakkad,73.43279386,150.9617624
Sentinel-2,01/04/19,Vijayapura,19.59583402,25.64179325
MODIS,01/06/20,Chitradurga,77.93420625,159.9680641
AMSR-E,01/02/22,Ramanathapuram,8.18789053,1.142046452
MODIS,01/03/19,Kadapa,80.87232971,166.2716703
Landsat,01/02/19,Sivaganga,29.8283093,42.22875452
Sentinel-2,01/03/20,Sivaganga,131.0467708,254.9943712
AMSR-E,01/12/20,Sivaganga,183.3503375,254.9848008
SMAP,01/04/21,Mahbubnagar,59.04460478,115.1955311
Landsat,01/10/21,Anantapur,50.11977053,92.96024585
Landsat,01/10/24,Kurnool,104.179934,223.0199339
Landsat,01/04/22,Kadapa,50.31284571,93.55861235
MODIS,01/04/20,Kadapa,33.62370229,51.82963729
MODIS,01/08/20,Koppal,100.6083112,216.1140125
Landsat,01/08/22,Koppal,62.14279318,122.7339494
Landsat,01/05/23,Chitradurga,65.9657855,130.364188
MODIS,01/07/22,Kurnool,24.81102562,30.36263442
SMAP,01/01/19,Sivaganga,130.1804168,254.98579
SMAP,01/06/20,Ramanathapuram,13.18624949,2.653185844
MODIS,01/12/19,Idukki,127.0257545,254.9697356
SMAP,01/08/23,Idukki,8.71807766,1.601002455
Sentinel-2,01/01/20,Vijayapura,100.0521295,217.7477527
Sentinel-2,01/08/20,Kadapa,52.73174405,99.47408557
Sentinel-2,01/06/20,Ramanathapuram,13.18624949,2.653185844
Sentinel-2,01/04/20,Koppal,24.16562533,28.22316599
MODIS,01/12/19,Vijayapura,83.00956774,172.5696757
Sentinel-2,01/10/20,Chitradurga,50.47946477,93.19934678
SMAP,01/03/24,Anantapur,9.742544174,0.856056213
Landsat,01/08/20,Dharmapuri,12.98310518,3.720236301
AMSR-E,01/05/22,Dharmapuri,89.09511471,185.1059325
AMSR-E,01/10/23,Palakkad,125.361043,254.6437964
Sentinel-2,01/02/24,Palakkad,82.54434061,172.2231739
SMAP,01/05/24,Mahbubnagar,78.9576695,164.3072691
Sentinel-2,01/07/20,Palakkad,166.1891749,253.4177921
AMSR-E,01/11/21,Koppal,41.55324292,71.53901553
Sentinel-2,01/02/24,Idukki,35.14060187,66.61716104
Sentinel-2,01/03/19,Koppal,15.72768974,9.357770205
MODIS,01/09/19,Mahbubnagar,53.37056279,101.2156942
AMSR-E,01/04/23,Raichur,0.430774927,0.649624586
Sentinel-2,01/01/23,Anantapur,8.136702538,0.329658747
AMSR-E,01/10/23,Anantapur,99.31497383,215.9864621
Landsat,01/12/22,Sivaganga,67.63032389,136.6622431
Landsat,01/05/23,Mahbubnagar,17.61436629,12.21519923
SMAP,01/02/21,Raichur,99.75217485,205.8088276
SMAP,01/04/21,Chitradurga,64.34557056,127.8454995
MODIS,01/07/23,Palakkad,39.73173332,67.09305716
Sentinel-2,01/09/23,Ramanathapuram,9.896576405,19.8862946
MODIS,01/03/23,Dharmapuri,70.03488159,142.3349848
MODIS,01/06/20,Mahbubnagar,29.60837793,41.7264235
SMAP,01/11/22,Sivaganga,61.32060266,120.8859088
AMSR-E,01/01/23,Mahbubnagar,131.3875334,254.9904475
Landsat,01/04/20,Raichur,16.18503809,9.7028265
Landsat,01/06/21,Dharmapuri,12.57214403,2.861569166
Landsat,01/10/19,Mahbubnagar,47.81210876,87.11730218
SMAP,01/06/24,Idukki,107.959492,236.5771792
Landsat,01/09/24,Vijayapura,25.62685418,31.7440784
Landsat,01/11/21,Kadapa,54.73962641,104.3951406
SMAP,01/07/19,Koppal,66.65891862,133.711437
MODIS,01/11/23,Kadapa,81.45246959,163.9830129
SMAP,01/01/22,Dharmapuri,69.34399366,139.8711596
MODIS,01/09/19,Chitradurga,19.09954476,15.59983993
MODIS,01/04/24,Ramanathapuram,20.78401804,19.5771935
MODIS,01/02/23,Sivaganga,88.2224052,186.4257441
SMAP,01/05/24,Chitradurga,18.07836318,14.05407739
Sentinel-2,01/11/23,Koppal,27.7383492,56.3277874
MODIS,01/10/23,Kurnool,131.2210219,254.997704
AMSR-E,01/09/23,Raichur,12.43568945,3.329697371
Sentinel-2,01/10/20,Mahbubnagar,157.5256879,254.7113936
AMSR-E,01/11/21,Vijayapura,16.74229002,11.07646632
Landsat,01/02/24,Ramanathapuram,4.244573832,1.219682932
SMAP,01/01/24,Kurnool,20.62966609,20.82065415
SMAP,01/09/23,Ramanathapuram,9.896576405,19.8862946
AMSR-E,01/08/22,Kadapa,26.07367229,32.95606208
AMSR-E,01/04/22,Koppal,59.56362867,116.3184452
Sentinel-2,01/10/23,Idukki,159.6972821,254.809335
