Satellite,Date,Location,NDVI,SMI,Avg_rainfall
Landsat,2019-12-01,Anantapur,43.72918057,76.75118709,0.037088061
MODIS,2019-12-01,Anantapur,43.72918057,76.75118709,0.32095769
AMSR-E,2019-12-01,Anantapur,43.72918057,76.75118709,2.731906013
SMAP,2019-12-01,Anantapur,43.72918057,76.75118709,0.037088061
MODIS,2020-01-01,Anantapur,85.56263757,175.8128667,0.32095769
Sentinel-2,2020-01-01,Anantapur,85.56263757,175.8128667,0.037088061
Landsat,2020-01-01,Anantapur,85.56263757,175.8128667,0.037088061
SMAP,2020-01-01,Anantapur,85.56263757,175.8128667,2.731906013
AMSR-E,2020-01-01,Anantapur,85.56263757,175.8128667,0.037088061
AMSR-E,2020-02-01,Anantapur,20.2149992,19.79029751,0.037088061
SMAP,2020-02-01,Anantapur,20.2149992,19.79029751,0.037088061
Landsat,2020-02-01,Anantapur,20.2149992,19.79029751,2.731906013
Sentinel-2,2020-02-01,Anantapur,20.2149992,19.79029751,0.037088061
MODIS,2020-02-01,Anantapur,20.2149992,19.79029751,0.32095769
AMSR-E,2020-03-01,Anantapur,101.1386223,207.0889459,0.32095769
SMAP,2020-03-01,Anantapur,101.1386223,207.0889459,0.037088061
Landsat,2020-03-01,Anantapur,101.1386223,207.0889459,2.731906013
Sentinel-2,2020-03-01,Anantapur,101.1386223,207.0889459,2.731906013
MODIS,2020-03-01,Anantapur,101.1386223,207.0889459,0.002212796
MODIS,2020-04-01,Anantapur,42.71564412,74.55785847,0.037088061
Landsat,2020-04-01,Anantapur,42.71564412,74.55785847,0.037088061
Sentinel-2,2020-04-01,Anantapur,42.71564412,74.55785847,0.037088061
SMAP,2020-04-01,Anantapur,42.71564412,74.55785847,0.037088061
AMSR-E,2020-04-01,Anantapur,42.71564412,74.55785847,0.037088061
MODIS,2020-05-01,Anantapur,79.54541302,165.3403583,0.002212796
Landsat,2020-05-01,Anantapur,79.54541302,165.3403583,2.731906013
Sentinel-2,2020-05-01,Anantapur,79.54541302,165.3403583,2.731906013
SMAP,2020-05-01,Anantapur,79.54541302,165.3403583,2.731906013
AMSR-E,2020-05-01,Anantapur,79.54541302,165.3403583,1.574186761
AMSR-E,2020-06-01,Anantapur,77.34751654,160.5246015,1.574186761
SMAP,2020-06-01,Anantapur,77.34751654,160.5246015,2.731906013
Sentinel-2,2020-06-01,Anantapur,77.34751654,160.5246015,1.574186761
Landsat,2020-06-01,Anantapur,77.34751654,160.5246015,2.731906013
MODIS,2020-06-01,Anantapur,77.34751654,160.5246015,1.574186761
AMSR-E,2020-07-01,Anantapur,111.0895848,239.1732626,0.037088061
SMAP,2020-07-01,Anantapur,111.0895848,239.1732626,0.037088061
Sentinel-2,2020-07-01,Anantapur,111.0895848,239.1732626,0.037088061
Landsat,2020-07-01,Anantapur,111.0895848,239.1732626,0.037088061
MODIS,2020-07-01,Anantapur,111.0895848,239.1732626,0.037088061
AMSR-E,2020-08-01,Anantapur,23.29605484,25.96087098,0.037088061
SMAP,2020-08-01,Anantapur,23.29605484,25.96087098,0.037088061
Landsat,2020-08-01,Anantapur,23.29605484,25.96087098,0.32095769
Sentinel-2,2020-08-01,Anantapur,23.29605484,25.96087098,0.32095769
MODIS,2020-08-01,Anantapur,23.29605484,25.96087098,0.037088061
AMSR-E,2020-09-01,Anantapur,11.91640329,3.517219305,0.002212796
SMAP,2020-09-01,Anantapur,11.91640329,3.517219305,2.731906013
Landsat,2020-09-01,Anantapur,11.91640329,3.517219305,2.731906013
Sentinel-2,2020-09-01,Anantapur,11.91640329,3.517219305,0.037088061
MODIS,2020-09-01,Anantapur,11.91640329,3.517219305,1.574186761
SMAP,2020-10-01,Anantapur,131.2334249,254.9977386,0.037088061
AMSR-E,2020-10-01,Anantapur,131.2334249,254.9977386,0.037088061
MODIS,2020-10-01,Anantapur,131.2334249,254.9977386,0.037088061
Sentinel-2,2020-10-01,Anantapur,131.2334249,254.9977386,0.037088061
Landsat,2020-10-01,Anantapur,131.2334249,254.9977386,0.037088061
SMAP,2020-11-01,Anantapur,24.18225265,28.21651435,0.037088061
AMSR-E,2020-11-01,Anantapur,24.18225265,28.21651435,2.731906013
MODIS,2020-11-01,Anantapur,24.18225265,28.21651435,2.731906013
Sentinel-2,2020-11-01,Anantapur,24.18225265,28.21651435,1.574186761
Landsat,2020-11-01,Anantapur,24.18225265,28.21651435,1.574186761
Landsat,2020-12-01,Anantapur,10.16026354,1.255560875,1.574186761
Sentinel-2,2020-12-01,Anantapur,10.16026354,1.255560875,1.574186761
MODIS,2020-12-01,Anantapur,10.16026354,1.255560875,2.731906013
AMSR-E,2020-12-01,Anantapur,10.16026354,1.255560875,2.731906013
SMAP,2020-12-01,Anantapur,10.16026354,1.255560875,1.574186761
AMSR-E,2021-01-01,Anantapur,11.71294069,1.8035748,0.002212796
SMAP,2021-01-01,Anantapur,11.71294069,1.8035748,2.731906013
Landsat,2021-01-01,Anantapur,11.71294069,1.8035748,2.731906013
Sentinel-2,2021-01-01,Anantapur,11.71294069,1.8035748,0.037088061
MODIS,2021-01-01,Anantapur,11.71294069,1.8035748,1.574186761
MODIS,2021-02-01,Anantapur,17.16183424,11.25211048,1.574186761
Sentinel-2,2021-02-01,Anantapur,17.16183424,11.25211048,0.002212796
Landsat,2021-02-01,Anantapur,17.16183424,11.25211048,2.731906013
SMAP,2021-02-01,Anantapur,17.16183424,11.25211048,2.731906013
AMSR-E,2021-02-01,Anantapur,17.16183424,11.25211048,0.002212796
MODIS,2021-03-01,Anantapur,79.23147416,164.0759001,0.037088061
Sentinel-2,2021-03-01,Anantapur,79.23147416,164.0759001,0.037088061
Landsat,2021-03-01,Anantapur,79.23147416,164.0759001,0.037088061
SMAP,2021-03-01,Anantapur,79.23147416,164.0759001,0.037088061
AMSR-E,2021-03-01,Anantapur,79.23147416,164.0759001,0.32095769
AMSR-E,2021-04-01,Anantapur,70.09408307,142.1900213,0.002212796
SMAP,2021-04-01,Anantapur,70.09408307,142.1900213,0.002212796
Sentinel-2,2021-04-01,Anantapur,70.09408307,142.1900213,2.731906013
Landsat,2021-04-01,Anantapur,70.09408307,142.1900213,0.037088061
MODIS,2021-04-01,Anantapur,70.09408307,142.1900213,2.731906013
AMSR-E,2021-05-01,Anantapur,56.48174357,108.8255162,0.32095769
SMAP,2021-05-01,Anantapur,56.48174357,108.8255162,0.32095769
Sentinel-2,2021-05-01,Anantapur,56.48174357,108.8255162,0.32095769
Landsat,2021-05-01,Anantapur,56.48174357,108.8255162,0.32095769
MODIS,2021-05-01,Anantapur,56.48174357,108.8255162,0.037088061
MODIS,2021-06-01,Anantapur,30.57919788,44.13929534,0.037088061
Landsat,2021-06-01,Anantapur,30.57919788,44.13929534,0.32095769
Sentinel-2,2021-06-01,Anantapur,30.57919788,44.13929534,0.037088061
SMAP,2021-06-01,Anantapur,30.57919788,44.13929534,0.32095769
AMSR-E,2021-06-01,Anantapur,30.57919788,44.13929534,0.32095769
MODIS,2021-07-01,Anantapur,96.79352927,207.0784941,0.32095769
Landsat,2021-07-01,Anantapur,96.79352927,207.0784941,2.731906013
Sentinel-2,2021-07-01,Anantapur,96.79352927,207.0784941,2.731906013
SMAP,2021-07-01,Anantapur,96.79352927,207.0784941,0.037088061
AMSR-E,2021-07-01,Anantapur,96.79352927,207.0784941,0.002212796
MODIS,2021-08-01,Anantapur,59.36171269,114.8179069,0.002212796
Sentinel-2,2021-08-01,Anantapur,59.36171269,114.8179069,2.731906013
Landsat,2021-08-01,Anantapur,59.36171269,114.8179069,2.731906013
SMAP,2021-08-01,Anantapur,59.36171269,114.8179069,1.574186761
AMSR-E,2021-08-01,Anantapur,59.36171269,114.8179069,2.731906013
MODIS,2021-09-01,Anantapur,51.81563735,97.21974063,0.32095769
Sentinel-2,2021-09-01,Anantapur,51.81563735,97.21974063,0.037088061
Landsat,2021-09-01,Anantapur,51.81563735,97.21974063,0.037088061
SMAP,2021-09-01,Anantapur,51.81563735,97.21974063,0.037088061
AMSR-E,2021-09-01,Anantapur,51.81563735,97.21974063,0.037088061
Landsat,2021-10-01,Anantapur,50.11977053,92.96024585,0.002212796
Sentinel-2,2021-10-01,Anantapur,50.11977053,92.96024585,0.002212796
MODIS,2021-10-01,Anantapur,50.11977053,92.96024585,0.32095769
AMSR-E,2021-10-01,Anantapur,50.11977053,92.96024585,0.037088061
SMAP,2021-10-01,Anantapur,50.11977053,92.96024585,0.002212796
Landsat,2021-11-01,Anantapur,16.42647982,10.11293268,0.32095769
Sentinel-2,2021-11-01,Anantapur,16.42647982,10.11293268,0.037088061
MODIS,2021-11-01,Anantapur,16.42647982,10.11293268,0.037088061
AMSR-E,2021-11-01,Anantapur,16.42647982,10.11293268,2.731906013
SMAP,2021-11-01,Anantapur,16.42647982,10.11293268,0.32095769
SMAP,2021-12-01,Anantapur,64.29563284,128.3053231,0.32095769
AMSR-E,2021-12-01,Anantapur,64.29563284,128.3053231,0.037088061
MODIS,2021-12-01,Anantapur,64.29563284,128.3053231,2.731906013
Sentinel-2,2021-12-01,Anantapur,64.29563284,128.3053231,0.32095769
Landsat,2021-12-01,Anantapur,64.29563284,128.3053231,0.32095769
SMAP,2022-01-01,Anantapur,132.9735994,254.9965341,0.037088061
AMSR-E,2022-01-01,Anantapur,132.9735994,254.9965341,0.037088061
MODIS,2022-01-01,Anantapur,132.9735994,254.9965341,2.731906013
Landsat,2022-01-01,Anantapur,132.9735994,254.9965341,0.037088061
Sentinel-2,2022-01-01,Anantapur,132.9735994,254.9965341,0.037088061
Sentinel-2,2022-02-01,Anantapur,11.52152538,1.954964638,0.037088061
Landsat,2022-02-01,Anantapur,11.52152538,1.954964638,0.037088061
MODIS,2022-02-01,Anantapur,11.52152538,1.954964638,0.037088061
AMSR-E,2022-02-01,Anantapur,11.52152538,1.954964638,2.731906013
SMAP,2022-02-01,Anantapur,11.52152538,1.954964638,0.037088061
Sentinel-2,2022-03-01,Anantapur,96.2542603,196.3713233,0.037088061
Landsat,2022-03-01,Anantapur,96.2542603,196.3713233,0.037088061
MODIS,2022-03-01,Anantapur,96.2542603,196.3713233,0.002212796
AMSR-E,2022-03-01,Anantapur,96.2542603,196.3713233,2.731906013
SMAP,2022-03-01,Anantapur,96.2542603,196.3713233,2.731906013
SMAP,2022-04-01,Anantapur,116.3441489,230.8237808,0.037088061
AMSR-E,2022-04-01,Anantapur,116.3441489,230.8237808,0.037088061
MODIS,2022-04-01,Anantapur,116.3441489,230.8237808,0.037088061
Sentinel-2,2022-04-01,Anantapur,116.3441489,230.8237808,0.037088061
Landsat,2022-04-01,Anantapur,116.3441489,230.8237808,0.037088061
SMAP,2022-05-01,Anantapur,97.84209776,203.191514,0.037088061
AMSR-E,2022-05-01,Anantapur,97.84209776,203.191514,2.731906013
MODIS,2022-05-01,Anantapur,97.84209776,203.191514,2.731906013
Sentinel-2,2022-05-01,Anantapur,97.84209776,203.191514,2.731906013
Landsat,2022-05-01,Anantapur,97.84209776,203.191514,1.574186761
Landsat,2022-06-01,Anantapur,24.43438268,28.74650526,1.574186761
Sentinel-2,2022-06-01,Anantapur,24.43438268,28.74650526,0.32095769
MODIS,2022-06-01,Anantapur,24.43438268,28.74650526,2.731906013
AMSR-E,2022-06-01,Anantapur,24.43438268,28.74650526,2.731906013
SMAP,2022-06-01,Anantapur,24.43438268,28.74650526,2.731906013
Landsat,2022-07-01,Anantapur,131.1805658,248.1903064,0.037088061
Sentinel-2,2022-07-01,Anantapur,131.1805658,248.1903064,0.037088061
MODIS,2022-07-01,Anantapur,131.1805658,248.1903064,0.037088061
AMSR-E,2022-07-01,Anantapur,131.1805658,248.1903064,0.037088061
SMAP,2022-07-01,Anantapur,131.1805658,248.1903064,0.037088061
Sentinel-2,2022-08-01,Anantapur,45.3155396,81.03009319,0.037088061
Landsat,2022-08-01,Anantapur,45.3155396,81.03009319,0.037088061
MODIS,2022-08-01,Anantapur,45.3155396,81.03009319,0.037088061
AMSR-E,2022-08-01,Anantapur,45.3155396,81.03009319,0.037088061
SMAP,2022-08-01,Anantapur,45.3155396,81.03009319,0.037088061
Sentinel-2,2022-09-01,Anantapur,39.81896687,66.95838141,0.002212796
Landsat,2022-09-01,Anantapur,39.81896687,66.95838141,0.002212796
MODIS,2022-09-01,Anantapur,39.81896687,66.95838141,2.731906013
AMSR-E,2022-09-01,Anantapur,39.81896687,66.95838141,2.731906013
SMAP,2022-09-01,Anantapur,39.81896687,66.95838141,1.574186761
MODIS,2022-10-01,Anantapur,28.16966224,38.13959289,0.037088061
Landsat,2022-10-01,Anantapur,28.16966224,38.13959289,0.037088061
Sentinel-2,2022-10-01,Anantapur,28.16966224,38.13959289,0.037088061
SMAP,2022-10-01,Anantapur,28.16966224,38.13959289,0.037088061
AMSR-E,2022-10-01,Anantapur,28.16966224,38.13959289,0.037088061
MODIS,2022-11-01,Anantapur,14.11267138,6.026083231,0.002212796
Landsat,2022-11-01,Anantapur,14.11267138,6.026083231,2.731906013
Sentinel-2,2022-11-01,Anantapur,14.11267138,6.026083231,0.037088061
SMAP,2022-11-01,Anantapur,14.11267138,6.026083231,2.731906013
AMSR-E,2022-11-01,Anantapur,14.11267138,6.026083231,1.574186761
AMSR-E,2022-12-01,Anantapur,130.8585584,254.9411805,1.574186761
SMAP,2022-12-01,Anantapur,130.8585584,254.9411805,2.731906013
Sentinel-2,2022-12-01,Anantapur,130.8585584,254.9411805,2.731906013
Landsat,2022-12-01,Anantapur,130.8585584,254.9411805,2.731906013
MODIS,2022-12-01,Anantapur,130.8585584,254.9411805,0.002212796
Sentinel-2,2023-01-01,Anantapur,8.136702538,0.329658747,0.002212796
Landsat,2023-01-01,Anantapur,8.136702538,0.329658747,0.002212796
MODIS,2023-01-01,Anantapur,8.136702538,0.329658747,2.731906013
AMSR-E,2023-01-01,Anantapur,8.136702538,0.329658747,2.731906013
SMAP,2023-01-01,Anantapur,8.136702538,0.329658747,1.574186761
SMAP,2023-02-01,Anantapur,8.679071426,0.454025984,0.002212796
AMSR-E,2023-02-01,Anantapur,8.679071426,0.454025984,2.731906013
MODIS,2023-02-01,Anantapur,8.679071426,0.454025984,2.731906013
Landsat,2023-02-01,Anantapur,8.679071426,0.454025984,0.002212796
Sentinel-2,2023-02-01,Anantapur,8.679071426,0.454025984,0.002212796
SMAP,2023-03-01,Anantapur,81.07770443,168.3139594,0.037088061
AMSR-E,2023-03-01,Anantapur,81.07770443,168.3139594,0.037088061
MODIS,2023-03-01,Anantapur,81.07770443,168.3139594,0.037088061
Landsat,2023-03-01,Anantapur,81.07770443,168.3139594,0.32095769
Sentinel-2,2023-03-01,Anantapur,81.07770443,168.3139594,0.32095769
Landsat,2023-04-01,Anantapur,25.50519657,31.71338463,0.002212796
Sentinel-2,2023-04-01,Anantapur,25.50519657,31.71338463,0.002212796
MODIS,2023-04-01,Anantapur,25.50519657,31.71338463,0.002212796
AMSR-E,2023-04-01,Anantapur,25.50519657,31.71338463,0.002212796
SMAP,2023-04-01,Anantapur,25.50519657,31.71338463,0.002212796
Landsat,2023-05-01,Anantapur,57.54022646,110.4146969,0.037088061
Sentinel-2,2023-05-01,Anantapur,57.54022646,110.4146969,0.037088061
MODIS,2023-05-01,Anantapur,57.54022646,110.4146969,0.037088061
AMSR-E,2023-05-01,Anantapur,57.54022646,110.4146969,0.32095769
SMAP,2023-05-01,Anantapur,57.54022646,110.4146969,1.574186761
SMAP,2023-06-01,Anantapur,17.65870929,13.09255147,0.037088061
AMSR-E,2023-06-01,Anantapur,17.65870929,13.09255147,0.32095769
MODIS,2023-06-01,Anantapur,17.65870929,13.09255147,0.037088061
Sentinel-2,2023-06-01,Anantapur,17.65870929,13.09255147,0.32095769
Landsat,2023-06-01,Anantapur,17.65870929,13.09255147,1.574186761
SMAP,2023-07-01,Anantapur,60.97525096,117.5015559,0.32095769
AMSR-E,2023-07-01,Anantapur,60.97525096,117.5015559,2.731906013
MODIS,2023-07-01,Anantapur,60.97525096,117.5015559,1.574186761
Sentinel-2,2023-07-01,Anantapur,60.97525096,117.5015559,1.574186761
Landsat,2023-07-01,Anantapur,60.97525096,117.5015559,0.002212796
SMAP,2023-08-01,Anantapur,25.08013511,30.24146032,0.32095769
AMSR-E,2023-08-01,Anantapur,25.08013511,30.24146032,0.002212796
MODIS,2023-08-01,Anantapur,25.08013511,30.24146032,0.002212796
Landsat,2023-08-01,Anantapur,25.08013511,30.24146032,2.731906013
Sentinel-2,2023-08-01,Anantapur,25.08013511,30.24146032,1.574186761
SMAP,2023-09-01,Anantapur,58.21252298,112.8444235,0.037088061
AMSR-E,2023-09-01,Anantapur,58.21252298,112.8444235,0.037088061
MODIS,2023-09-01,Anantapur,58.21252298,112.8444235,0.32095769
Landsat,2023-09-01,Anantapur,58.21252298,112.8444235,0.037088061
Sentinel-2,2023-09-01,Anantapur,58.21252298,112.8444235,0.037088061
AMSR-E,2023-10-01,Anantapur,99.31497383,215.9864621,0.002212796
SMAP,2023-10-01,Anantapur,99.31497383,215.9864621,0.002212796
Sentinel-2,2023-10-01,Anantapur,99.31497383,215.9864621,2.731906013
Landsat,2023-10-01,Anantapur,99.31497383,215.9864621,0.037088061
MODIS,2023-10-01,Anantapur,99.31497383,215.9864621,1.574186761
AMSR-E,2023-11-01,Anantapur,33.92993593,52.36479783,0.32095769
SMAP,2023-11-01,Anantapur,33.92993593,52.36479783,0.037088061
Sentinel-2,2023-11-01,Anantapur,33.92993593,52.36479783,0.037088061
Landsat,2023-11-01,Anantapur,33.92993593,52.36479783,2.731906013
MODIS,2023-11-01,Anantapur,33.92993593,52.36479783,0.037088061
MODIS,2023-12-01,Anantapur,129.6506763,254.9981761,0.037088061
Landsat,2023-12-01,Anantapur,129.6506763,254.9981761,0.037088061
Sentinel-2,2023-12-01,Anantapur,129.6506763,254.9981761,0.037088061
SMAP,2023-12-01,Anantapur,129.6506763,254.9981761,2.731906013
AMSR-E,2023-12-01,Anantapur,129.6506763,254.9981761,0.32095769
Landsat,2024-01-01,Anantapur,74.87617517,154.6521783,0.32095769
Sentinel-2,2024-01-01,Anantapur,74.87617517,154.6521783,0.037088061
MODIS,2024-01-01,Anantapur,74.87617517,154.6521783,0.037088061
AMSR-E,2024-01-01,Anantapur,74.87617517,154.6521783,2.731906013
SMAP,2024-01-01,Anantapur,74.87617517,154.6521783,0.32095769
SMAP,2024-02-01,Anantapur,11.20074534,2.301413774,0.32095769
AMSR-E,2024-02-01,Anantapur,11.20074534,2.301413774,0.32095769
MODIS,2024-02-01,Anantapur,11.20074534,2.301413774,2.731906013
Sentinel-2,2024-02-01,Anantapur,11.20074534,2.301413774,0.32095769
Landsat,2024-02-01,Anantapur,11.20074534,2.301413774,0.32095769
SMAP,2024-03-01,Anantapur,9.742544174,0.856056213,0.002212796
AMSR-E,2024-03-01,Anantapur,9.742544174,0.856056213,0.002212796
MODIS,2024-03-01,Anantapur,9.742544174,0.856056213,2.731906013
Sentinel-2,2024-03-01,Anantapur,9.742544174,0.856056213,0.002212796
Landsat,2024-03-01,Anantapur,9.742544174,0.856056213,0.002212796
Sentinel-2,2024-04-01,Anantapur,99.2340858,201.4772468,0.32095769
Landsat,2024-04-01,Anantapur,99.2340858,201.4772468,0.037088061
MODIS,2024-04-01,Anantapur,99.2340858,201.4772468,0.037088061
AMSR-E,2024-04-01,Anantapur,99.2340858,201.4772468,0.32095769
SMAP,2024-04-01,Anantapur,99.2340858,201.4772468,0.037088061
Sentinel-2,2024-05-01,Anantapur,19.32238245,17.13531518,0.002212796
Landsat,2024-05-01,Anantapur,19.32238245,17.13531518,0.002212796
MODIS,2024-05-01,Anantapur,19.32238245,17.13531518,2.731906013
AMSR-E,2024-05-01,Anantapur,19.32238245,17.13531518,2.731906013
SMAP,2024-05-01,Anantapur,19.32238245,17.13531518,1.574186761
SMAP,2024-06-01,Anantapur,24.60364819,29.36244082,0.002212796
AMSR-E,2024-06-01,Anantapur,24.60364819,29.36244082,2.731906013
MODIS,2024-06-01,Anantapur,24.60364819,29.36244082,2.731906013
Landsat,2024-06-01,Anantapur,24.60364819,29.36244082,1.574186761
Sentinel-2,2024-06-01,Anantapur,24.60364819,29.36244082,0.002212796
SMAP,2024-07-01,Anantapur,45.56922054,80.99760151,0.037088061
AMSR-E,2024-07-01,Anantapur,45.56922054,80.99760151,0.037088061
MODIS,2024-07-01,Anantapur,45.56922054,80.99760151,0.037088061
Landsat,2024-07-01,Anantapur,45.56922054,80.99760151,0.037088061
Sentinel-2,2024-07-01,Anantapur,45.56922054,80.99760151,0.32095769
SMAP,2024-08-01,Anantapur,56.84338975,108.363847,0.037088061
AMSR-E,2024-08-01,Anantapur,56.84338975,108.363847,0.037088061
MODIS,2024-08-01,Anantapur,56.84338975,108.363847,0.32095769
Sentinel-2,2024-08-01,Anantapur,56.84338975,108.363847,0.037088061
Landsat,2024-08-01,Anantapur,56.84338975,108.363847,0.037088061
SMAP,2024-09-01,Anantapur,55.27214456,105.7869158,0.037088061
AMSR-E,2024-09-01,Anantapur,55.27214456,105.7869158,2.731906013
MODIS,2024-09-01,Anantapur,55.27214456,105.7869158,2.731906013
Sentinel-2,2024-09-01,Anantapur,55.27214456,105.7869158,2.731906013
Landsat,2024-09-01,Anantapur,55.27214456,105.7869158,1.574186761
AMSR-E,2024-10-01,Anantapur,44.99543476,79.95588064,0.037088061
SMAP,2024-10-01,Anantapur,44.99543476,79.95588064,0.037088061
Landsat,2024-10-01,Anantapur,44.99543476,79.95588064,0.037088061
Sentinel-2,2024-10-01,Anantapur,44.99543476,79.95588064,2.731906013
MODIS,2024-10-01,Anantapur,44.99543476,79.95588064,0.037088061
AMSR-E,2024-11-01,Anantapur,15.63372159,9.442385674,0.002212796
SMAP,2024-11-01,Anantapur,15.63372159,9.442385674,2.731906013
Landsat,2024-11-01,Anantapur,15.63372159,9.442385674,2.731906013
Sentinel-2,2024-11-01,Anantapur,15.63372159,9.442385674,0.037088061
MODIS,2024-11-01,Anantapur,15.63372159,9.442385674,1.574186761
MODIS,2024-12-01,Anantapur,131.4264822,254.9765921,1.574186761
Sentinel-2,2024-12-01,Anantapur,131.4264822,254.9765921,0.002212796
Landsat,2024-12-01,Anantapur,131.4264822,254.9765921,2.731906013
SMAP,2024-12-01,Anantapur,131.4264822,254.9765921,2.731906013
AMSR-E,2024-12-01,Anantapur,131.4264822,254.9765921,0.002212796
MODIS,2019-01-01,Chitradurga,15.82338691,7.846421003,0.037088061
Sentinel-2,2019-01-01,Chitradurga,15.82338691,7.846421003,0.32095769
Landsat,2019-01-01,Chitradurga,15.82338691,7.846421003,2.731906013
SMAP,2019-01-01,Chitradurga,15.82338691,7.846421003,0.002212796
AMSR-E,2019-01-01,Chitradurga,15.82338691,7.846421003,1.574186761
MODIS,2019-02-01,Chitradurga,77.85399628,159.6650932,0.037088061
Sentinel-2,2019-02-01,Chitradurga,77.85399628,159.6650932,1.574186761
AMSR-E,2019-02-01,Chitradurga,77.85399628,159.6650932,2.731906013
SMAP,2019-02-01,Chitradurga,77.85399628,159.6650932,0.037088061
Landsat,2019-02-01,Chitradurga,77.85399628,159.6650932,0.002212796
MODIS,2019-03-01,Chitradurga,84.28963947,174.1998124,0.002212796
Landsat,2019-03-01,Chitradurga,84.28963947,174.1998124,0.037088061
SMAP,2019-03-01,Chitradurga,84.28963947,174.1998124,0.037088061
AMSR-E,2019-03-01,Chitradurga,84.28963947,174.1998124,0.32095769
Sentinel-2,2019-03-01,Chitradurga,84.28963947,174.1998124,2.731906013
MODIS,2019-04-01,Chitradurga,64.78815961,129.4449408,2.731906013
